,dt,estimated_delay,partial_estimated_delay,mask_from,mask_to,surface_tilt,surface_azimuth
0,2022/06/02,0,0,2022/06/02 06:35:00,2022/06/02 17:35:00,28,178.28
1,2022/06/03,-53,0,2022/06/03 06:35:00,2022/06/03 17:35:00,28,178.28
2,2022/04/08,-165,0,2022/04/08 07:20:00,2022/04/08 17:10:00,28,178.28
3,2022/05/18,-61,0,2022/05/18 06:40:00,2022/05/18 17:30:00,28,178.28
4,2022/05/22,-7,0,2022/05/22 06:40:00,2022/05/22 17:30:00,28,178.28
5,2022/05/03,-92,0,2022/05/03 06:50:00,2022/05/03 17:30:00,28,178.28
6,2022/10/20,-910,0,2022/10/20 08:20:00,2022/10/20 15:20:00,28,178.28
7,2022/09/30,-121,0,2022/09/30 08:00:00,2022/09/30 15:50:00,28,178.28
8,2022/08/29,3212,3212,2022/08/29 00:00:00,2022/08/29 23:59:00,28,178.28
9,2022/11/09,-921,0,2022/11/09 08:35:00,2022/11/09 15:10:00,28,178.28
10,2022/05/08,-112,0,2022/05/08 06:45:00,2022/05/08 17:30:00,28,178.28
11,2022/10/30,-1063,0,2022/10/30 08:30:00,2022/10/30 15:20:00,28,178.28
12,2022/10/14,-885,0,2022/10/14 08:15:00,2022/10/14 15:35:00,28,178.28
13,2022/11/20,-880,0,2022/11/20 08:45:00,2022/11/20 14:50:00,28,178.28
14,2022/04/28,79,0,2022/04/28 09:10:00,2022/04/28 15:10:00,28,178.28
15,2022/10/13,-728,0,2022/10/13 08:15:00,2022/10/13 15:30:00,28,178.28
16,2022/11/08,-884,0,2022/11/08 08:35:00,2022/11/08 15:15:00,28,178.28
17,2022/11/11,-811,0,2022/11/11 08:35:00,2022/11/11 15:00:00,28,178.28
18,2022/04/05,548,0,2022/04/05 00:00:00,2022/04/05 12:15:00,28,178.28
19,2022/06/09,-475,0,2022/06/09 14:45:00,2022/06/09 17:30:00,28,178.28
20,2022/05/04,635,0,2022/05/04 00:00:00,2022/05/04 14:00:00,28,178.28
21,2022/10/15,-842,0,2022/10/15 08:15:00,2022/10/15 15:30:00,28,178.28
22,2022/03/25,966,420,2022/03/25 07:20:00,2022/03/25 16:30:00,28,178.28
23,2022/06/04,174,0,2022/06/04 00:00:00,2022/06/04 13:00:00,28,178.28
24,2022/03/24,-663,0,2022/03/24 11:15:00,2022/03/24 23:59:00,28,178.28
25,2022/05/24,271,0,2022/05/24 09:10:00,2022/05/24 15:00:00,28,178.28
26,2022/10/02,-476,0,2022/10/02 08:10:00,2022/10/02 15:50:00,28,178.28
27,2022/08/30,62,0,2022/08/30 08:45:00,2022/08/30 15:40:00,28,178.28
28,2022/05/27,-122,0,2022/05/27 07:35:00,2022/05/27 16:35:00,28,178.28
29,2022/04/07,117,0,2022/04/07 09:30:00,2022/04/07 15:00:00,28,178.28
30,2022/10/01,-550,0,2022/10/01 08:05:00,2022/10/01 15:45:00,28,178.28
31,2022/06/10,2303,0,2022/06/10 00:00:00,2022/06/10 12:10:00,28,178.28
32,2022/11/12,-19,0,2022/11/12 08:35:00,2022/11/12 13:30:00,28,178.28
33,2022/11/14,-809,0,2022/11/14 08:35:00,2022/11/14 14:30:00,28,178.28
34,2022/11/04,-1040,0,2022/11/04 08:30:00,2022/11/04 15:30:00,28,178.28
35,2022/05/23,930,442,2022/05/23 06:45:00,2022/05/23 17:00:00,28,178.28
36,2022/10/31,-335,0,2022/10/31 08:30:00,2022/10/31 14:00:00,28,178.28
37,2022/04/30,-323,0,2022/04/30 09:00:00,2022/04/30 15:10:00,28,178.28
38,2022/05/19,1365,0,2022/05/19 00:00:00,2022/05/19 09:30:00,28,178.28
39,2022/10/18,-1512,0,2022/10/18 09:45:00,2022/10/18 15:10:00,28,178.28
40,2022/10/03,-542,0,2022/10/03 08:05:00,2022/10/03 15:30:00,28,178.28
41,2022/05/25,814,0,2022/05/25 08:45:00,2022/05/25 15:30:00,28,178.28
42,2022/09/25,-1719,0,2022/09/25 11:15:00,2022/09/25 23:59:00,28,178.28
43,2022/11/16,-350,0,2022/11/16 08:40:00,2022/11/16 14:00:00,28,178.28
44,2022/06/14,119,0,2022/06/14 18:15:00,2022/06/14 23:59:00,28,178.28
45,2022/06/13,3208,0,2022/06/13 00:00:00,2022/06/13 06:15:00,28,178.28
46,2022/05/29,217,0,2022/05/29 06:45:00,2022/05/29 17:25:00,28,178.28
47,2022/04/25,-2464,0,2022/04/25 12:00:00,2022/04/25 23:59:00,28,178.28
48,2022/05/02,-9,0,2022/05/02 06:30:00,2022/05/02 17:45:00,28,178.28
49,2022/05/30,1938,0,2022/05/30 09:45:00,2022/05/30 11:45:00,28,178.28
