,dt,estimated_delay,partial_estimated_delay,mask_from,mask_to,surface_tilt,surface_azimuth
0,2022/06/02,0,0,2022/06/02 06:35:00,2022/06/02 17:35:00,28,178.28
1,2022/06/03,-53,0,2022/06/03 06:35:00,2022/06/03 17:35:00,28,178.28
2,2022/04/08,-165,0,2022/04/08 07:20:00,2022/04/08 17:10:00,28,178.28
3,2022/05/18,-61,0,2022/05/18 06:40:00,2022/05/18 17:30:00,28,178.28
4,2022/05/22,-7,0,2022/05/22 06:40:00,2022/05/22 17:30:00,28,178.28
5,2022/05/03,-92,0,2022/05/03 06:50:00,2022/05/03 17:30:00,28,178.28
6,2022/10/20,-910,0,2022/10/20 08:20:00,2022/10/20 15:20:00,28,178.28
7,2022/09/30,-121,0,2022/09/30 08:00:00,2022/09/30 15:50:00,28,178.28
8,2022/08/29,3212,3212,2022/08/29 00:00:00,2022/08/29 23:59:00,28,178.28
9,2022/11/09,-921,0,2022/11/09 08:35:00,2022/11/09 15:10:00,28,178.28
