,dt,from_time,to_time,jaggedness,area,score
93,2022/06/02,00:00:00,23:59:59,8.099312849036922,0.3069510370103496,0.03789840480687799
94,2022/06/03,00:00:00,23:59:59,8.076549694581738,0.3042166337057069,0.03766665781921638
38,2022/04/08,00:00:00,23:59:59,8.388989604584191,0.3058868710726747,0.03646289785667654
78,2022/05/18,00:00:00,23:59:59,9.153730747881337,0.3090896685219709,0.03376652394910248
82,2022/05/22,00:00:00,23:59:59,9.175766894138285,0.3000580916441351,0.03270114586670896
63,2022/05/03,00:00:00,23:59:59,9.739546930361003,0.3136996254101167,0.03220885197772636
233,2022/10/20,00:00:00,23:59:59,8.074748113306685,0.247629625748711,0.030667164136133573
213,2022/09/30,00:00:00,23:59:59,8.83997799402411,0.2684240502509189,0.03036478715584762
181,2022/08/29,00:00:00,23:59:59,8.944043652143467,0.2652518709159965,0.029656817568463913
253,2022/11/09,00:00:00,23:59:59,7.793268676397895,0.2143403209342857,0.027503263371814784
68,2022/05/08,00:00:00,23:59:59,11.48474826256644,0.2917485865073365,0.025403132906122654
243,2022/10/30,00:00:00,23:59:59,9.493594206678402,0.2345569801986255,0.024706868135739687
227,2022/10/14,00:00:00,23:59:59,10.314616749441823,0.2489755036183884,0.02413812453398831
264,2022/11/20,00:00:00,23:59:59,8.38053712453741,0.1952730997873943,0.02330078572358487
58,2022/04/28,00:00:00,23:59:59,12.55103001257092,0.2831787443517977,0.022562191634325643
226,2022/10/13,00:00:00,23:59:59,10.823062105765642,0.2439659953249325,0.022541309745877494
252,2022/11/08,00:00:00,23:59:59,9.676190823290312,0.2144637020015826,0.02216406289604941
255,2022/11/11,00:00:00,23:59:59,9.744115650765488,0.1984422112159684,0.02036533825420873
35,2022/04/05,00:00:00,23:59:59,15.543774676411369,0.2956770199428002,0.01902221475144697
100,2022/06/09,00:00:00,23:59:59,16.535728445709072,0.2934178021536059,0.017744473920031395
64,2022/05/04,00:00:00,23:59:59,16.83672532068703,0.2977157601765488,0.01768252166059572
228,2022/10/15,00:00:00,23:59:59,14.36957641331442,0.2439620737874484,0.01697768025795113
24,2022/03/25,00:00:00,23:59:59,16.210136020826432,0.2599668877599334,0.01603730452513992
95,2022/06/04,00:00:00,23:59:59,18.574224554745864,0.2946445082580483,0.015863085287335144
23,2022/03/24,00:00:00,23:59:59,18.429783003499168,0.2672050606097276,0.014498546215058243
84,2022/05/24,00:00:00,23:59:59,20.877106962020065,0.2962034094433566,0.014187952860624518
215,2022/10/02,00:00:00,23:59:59,18.696658624316036,0.2542952711369332,0.013601107890273407
182,2022/08/30,00:00:00,23:59:59,20.67315450949372,0.2748504344497344,0.013295040886165435
87,2022/05/27,00:00:00,23:59:59,24.14774590206096,0.3140356004130425,0.013004758360747874
37,2022/04/07,00:00:00,23:59:59,21.7173764778888,0.2800469751172343,0.012895064714762377
214,2022/10/01,00:00:00,23:59:59,20.70205174830128,0.2610485274141013,0.012609790111046446
101,2022/06/10,00:00:00,23:59:59,20.7788846213634,0.2303746001074334,0.011086956990491122
256,2022/11/12,00:00:00,23:59:59,16.587697385544594,0.180249732194704,0.010866470975759615
258,2022/11/14,00:00:00,23:59:59,19.47550642218443,0.2112341707689365,0.010846145213883678
248,2022/11/04,00:00:00,23:59:59,19.85381307439032,0.2098340608185493,0.01056895519426527
83,2022/05/23,00:00:00,23:59:59,19.001959072976867,0.1986896017129711,0.010456269322015974
244,2022/10/31,00:00:00,23:59:59,22.94938169201004,0.2187981559435276,0.009533945571165582
60,2022/04/30,00:00:00,23:59:59,32.57586811600429,0.3032476705115342,0.009308966669181436
79,2022/05/19,00:00:00,23:59:59,25.606506119851197,0.2251272471329608,0.008791798696755162
231,2022/10/18,00:00:00,23:59:59,28.499703397685565,0.2426756889023387,0.008515025069420413
216,2022/10/03,00:00:00,23:59:59,29.613250478080587,0.2471974698769343,0.008347529092083535
85,2022/05/25,00:00:00,23:59:59,33.70804324381811,0.2806313910160939,0.008325353951465584
208,2022/09/25,00:00:00,23:59:59,31.312347990825312,0.2349128889603673,0.007502244450949448
260,2022/11/16,00:00:00,23:59:59,26.198029458303896,0.1956204332015548,0.007466990351808681
105,2022/06/14,00:00:00,23:59:59,12.64821284318754,0.0890560838207797,0.007041001359235209
104,2022/06/13,00:00:00,23:59:59,16.27403635403776,0.1128531458942268,0.006934551664942468
89,2022/05/29,00:00:00,23:59:59,45.99534778392074,0.3086618376642066,0.006710718638638275
55,2022/04/25,00:00:00,23:59:59,31.443895428605824,0.2102715137689582,0.006687196700751822
62,2022/05/02,00:00:00,23:59:59,46.43252604731591,0.3095056008317984,0.006665706718527534
90,2022/05/30,00:00:00,23:59:59,15.530634421898474,0.1025459991173998,0.006602821000847723
75,2022/05/15,00:00:00,23:59:59,16.408802898409714,0.1060427767283402,0.006462554117132915
21,2022/03/22,00:00:00,23:59:59,15.674519151249324,0.101147799269325,0.006453008114208282
109,2022/06/18,00:00:00,23:59:59,32.98814088830438,0.2103662805156048,0.006377027466564146
99,2022/06/08,00:00:00,23:59:59,47.31916506361209,0.2871767249479809,0.006068930518151019
265,2022/11/21,00:00:00,23:59:59,25.42064846891138,0.1476430133117932,0.005807995554966103
92,2022/06/01,00:00:00,23:59:59,29.075122667278908,0.1663080978831988,0.0057199448403484005
34,2022/04/04,00:00:00,23:59:59,50.817496303946605,0.2845881757589312,0.005600200648547681
254,2022/11/10,00:00:00,23:59:59,34.35924086795711,0.1917965469286545,0.005582095008027984
16,2022/03/17,00:00:00,23:59:59,6.1638088712028125,0.0341611055888458,0.005542207148642422
29,2022/03/30,00:00:00,23:59:59,43.5936554570366,0.2412261545068587,0.005533515186506838
206,2022/09/23,00:00:00,23:59:59,19.57047939490469,0.1081706487049498,0.005527235512335625
50,2022/04/20,00:00:00,23:59:59,4.292446628748443,0.0237202668195497,0.005526048165790676
110,2022/06/19,00:00:00,23:59:59,39.93610263221048,0.2173501874972418,0.005442448640993273
