dt,from_time,to_time,jaggedness,area
2022/03/01,00:00:00,23:59:59,0.0,0.0
2022/03/02,00:00:00,23:59:59,0.0,0.0
2022/03/03,00:00:00,23:59:59,0.0,0.0
2022/03/04,00:00:00,23:59:59,0.0,0.0
2022/03/05,00:00:00,23:59:59,0.0,0.0
2022/03/06,00:00:00,23:59:59,0.0,0.0
2022/03/07,00:00:00,23:59:59,0.0,0.0
2022/03/08,00:00:00,23:59:59,0.0,0.0
2022/03/09,00:00:00,23:59:59,0.0,0.0
2022/03/10,00:00:00,23:59:59,0.0,0.0
2022/03/11,00:00:00,23:59:59,0.0,0.0
2022/03/12,00:00:00,23:59:59,0.0,0.0
2022/03/13,00:00:00,23:59:59,0.0,0.0
2022/03/14,00:00:00,23:59:59,0.0,0.0
2022/03/15,00:00:00,23:59:59,0.0,0.0
2022/03/16,00:00:00,23:59:59,0.0,0.0
2022/03/17,00:00:00,23:59:59,6.1638088712028125,0.03416110558884589
2022/03/18,00:00:00,23:59:59,36.51651684531693,0.023114162451075917
2022/03/19,00:00:00,23:59:59,44.489900503840936,0.11920537376758442
2022/03/20,00:00:00,23:59:59,47.24239196085945,0.25377852640861137
2022/03/21,00:00:00,23:59:59,44.57701453517763,0.161140988827638
2022/03/22,00:00:00,23:59:59,15.674519151249324,0.101147799269325
2022/03/23,00:00:00,23:59:59,18.25563922517447,0.06735430023481992
2022/03/24,00:00:00,23:59:59,18.429783003499168,0.2672050606097276
2022/03/25,00:00:00,23:59:59,16.210136020826432,0.2599668877599334
2022/03/26,00:00:00,23:59:59,27.652088824569248,0.03730431444351583
2022/03/27,00:00:00,23:59:59,45.03804421189709,0.2376456639086522
2022/03/28,00:00:00,23:59:59,35.00481876004465,0.1467373090475689
2022/03/29,00:00:00,23:59:59,35.26927598516548,0.14313173709214616
2022/03/30,00:00:00,23:59:59,43.5936554570366,0.24122615450685875
2022/03/31,00:00:00,23:59:59,22.56543137181785,0.03436152018271019
2022/04/01,00:00:00,23:59:59,54.93075905099371,0.2782230380285885
2022/04/02,00:00:00,23:59:59,57.480525532941954,0.24357933907617846
2022/04/03,00:00:00,23:59:59,69.67394643639682,0.2878274667923224
2022/04/04,00:00:00,23:59:59,50.817496303946605,0.2845881757589312
2022/04/05,00:00:00,23:59:59,15.543774676411369,0.2956770199428002
2022/04/06,00:00:00,23:59:59,58.39970320809967,0.28539497938348685
2022/04/07,00:00:00,23:59:59,21.717376477888802,0.28004697511723436
2022/04/08,00:00:00,23:59:59,8.388989604584191,0.3058868710726747
2022/04/09,00:00:00,23:59:59,0.0,0.0
2022/04/10,00:00:00,23:59:59,0.0,0.0
2022/04/11,00:00:00,23:59:59,0.0,0.0
2022/04/12,00:00:00,23:59:59,0.0,0.0
2022/04/13,00:00:00,23:59:59,0.0,0.0
2022/04/14,00:00:00,23:59:59,0.0,0.0
2022/04/15,00:00:00,23:59:59,0.0,0.0
2022/04/16,00:00:00,23:59:59,0.0,0.0
2022/04/17,00:00:00,23:59:59,0.0,0.0
2022/04/18,00:00:00,23:59:59,0.0,0.0
2022/04/19,00:00:00,23:59:59,0.0,0.0
2022/04/20,00:00:00,23:59:59,4.292446628748443,0.02372026681954975
2022/04/21,00:00:00,23:59:59,19.13050617251935,0.04685529546187061
